"Site","Treatment","Plot_number","Percent_canopy_cover","Year"
"FAB","C",1,0.5,"1"
"FAB","C",1,0.8,"1"
"FAB","C",1,0.5,"1"
"FAB","C",1,0.5,"1"
"FAB","C",1,1.82,"2"
"FAB","C",1,1.82,"2"
"FAB","C",1,1.3,"2"
"FAB","C",1,2.34,"2"
"FAB","C",1,1.56,"2"
"FAB","C",1,1.3,"2"
"FAB","C",1,0,"3"
"FAB","C",1,0,"3"
"FAB","C",1,0,"3"
"FAB","C",1,0,"3"
"FAB","C",1,0,"3"
"FAB","C",1,0,"3"
"FAB","C",2,2.6,"1"
"FAB","C",2,0,"1"
"FAB","C",2,3.1,"1"
"FAB","C",2,19.8,"1"
"FAB","C",2,0,"2"
"FAB","C",2,0.52,"2"
"FAB","C",2,2.6,"2"
"FAB","C",2,17.16,"2"
"FAB","C",2,6.76,"2"
"FAB","C",2,1.3,"2"
"FAB","C",2,2.08,"3"
"FAB","C",2,0,"3"
"FAB","C",2,0,"3"
"FAB","C",2,1.04,"3"
"FAB","C",2,0.78,"3"
"FAB","C",2,13,"3"
"FAB","C",3,0,"1"
"FAB","C",3,0,"1"
"FAB","C",3,0,"1"
"FAB","C",3,0,"1"
"FAB","C",3,0,"2"
"FAB","C",3,0,"2"
"FAB","C",3,0,"2"
"FAB","C",3,0,"2"
"FAB","C",3,0,"2"
"FAB","C",3,0,"2"
"FAB","C",3,0,"3"
"FAB","C",3,1.3,"3"
"FAB","C",3,0,"3"
"FAB","C",3,1.56,"3"
"FAB","C",3,0,"3"
"FAB","C",3,0,"3"
"FAB","C",4,0,"1"
"FAB","C",4,0,"1"
"FAB","C",4,0,"1"
"FAB","C",4,0,"1"
"FAB","C",4,0,"2"
"FAB","C",4,0,"2"
"FAB","C",4,0,"2"
"FAB","C",4,0,"2"
"FAB","C",4,0,"2"
"FAB","C",4,0,"2"
"FAB","C",4,0,"3"
"FAB","C",4,0,"3"
"FAB","C",4,0,"3"
"FAB","C",4,0,"3"
"FAB","C",4,0,"3"
"FAB","C",4,0,"3"
"FAB","C",5,0,"1"
"FAB","C",5,0,"1"
"FAB","C",5,0,"1"
"FAB","C",5,0,"1"
"FAB","C",5,0,"2"
"FAB","C",5,0,"2"
"FAB","C",5,3.46666666666667,"2"
"FAB","C",5,10.14,"2"
"FAB","C",5,2.08,"2"
"FAB","C",5,9.1,"2"
"FAB","C",5,1.56,"3"
"FAB","C",5,0.78,"3"
"FAB","C",5,3.12,"3"
"FAB","C",5,0,"3"
"FAB","C",5,0,"3"
"FAB","C",5,9.88,"3"
"FAB","C",6,0,"1"
"FAB","C",6,0.3,"1"
"FAB","C",6,0,"1"
"FAB","C",6,0,"1"
"FAB","C",6,1.56,"2"
"FAB","C",6,6.24,"2"
"FAB","C",6,0,"2"
"FAB","C",6,0.26,"2"
"FAB","C",6,0,"2"
"FAB","C",6,3.38,"2"
"FAB","C",6,0,"3"
"FAB","C",6,29.64,"3"
"FAB","C",6,16.38,"3"
"FAB","C",6,1.3,"3"
"FAB","C",6,0,"3"
"FAB","C",6,2.34,"3"
"FCEA","C",1,0,"1"
"FCEA","C",1,0,"1"
"FCEA","C",1,0,"1"
"FCEA","C",1,0,"1"
"FCEA","C",1,75.4,"2"
"FCEA","C",1,0,"2"
"FCEA","C",1,1.56,"2"
"FCEA","C",1,0,"2"
"FCEA","C",1,0,"2"
"FCEA","C",1,0,"2"
"FCEA","C",1,1.97999999999999,"3"
"FCEA","C",1,7.17999999999999,"3"
"FCEA","C",1,3.02,"3"
"FCEA","C",1,12.38,"3"
"FCEA","C",1,0.420000000000002,"3"
"FCEA","C",1,99.74,"3"
"FCEA","C",2,0,"1"
"FCEA","C",2,0,"1"
"FCEA","C",2,0,"1"
"FCEA","C",2,0,"1"
"FCEA","C",2,18.46,"2"
"FCEA","C",2,6.76,"2"
"FCEA","C",2,16.12,"2"
"FCEA","C",2,71.66,"2"
"FCEA","C",2,9.36,"2"
"FCEA","C",2,9.36,"2"
"FCEA","C",2,40.46,"3"
"FCEA","C",2,23.3,"3"
"FCEA","C",2,68.54,"3"
"FCEA","C",2,66.98,"3"
"FCEA","C",2,68.28,"3"
"FCEA","C",2,23.56,"3"
"FCEA","C",3,0,"1"
"FCEA","C",3,0,"1"
"FCEA","C",3,0,"1"
"FCEA","C",3,0,"1"
"FCEA","C",3,25.22,"2"
"FCEA","C",3,13.78,"2"
"FCEA","C",3,3.12,"2"
"FCEA","C",3,8.06,"2"
"FCEA","C",3,0,"2"
"FCEA","C",3,8.58,"2"
"FCEA","C",3,9,"3"
"FCEA","C",3,4.58,"3"
"FCEA","C",3,5.09999999999999,"3"
"FCEA","C",3,1.72,"3"
"FCEA","C",3,1.45999999999999,"3"
"FCEA","C",3,3.02,"3"
"FCEA","C",4,2.9,"1"
"FCEA","C",4,3.6,"1"
"FCEA","C",4,0,"1"
"FCEA","C",4,0,"1"
"FCEA","C",4,31.72,"2"
"FCEA","C",4,9.88,"2"
"FCEA","C",4,15.34,"2"
"FCEA","C",4,11.7,"2"
"FCEA","C",4,18.46,"2"
"FCEA","C",4,20.8,"2"
"FCEA","C",4,11.34,"3"
"FCEA","C",4,12.64,"3"
"FCEA","C",4,9.52,"3"
"FCEA","C",4,13.16,"3"
"FCEA","C",4,10.3,"3"
"FCEA","C",4,52.42,"3"
"FCEA","C",5,0,"1"
"FCEA","C",5,0,"1"
"FCEA","C",5,0,"1"
"FCEA","C",5,0,"1"
"FCEA","C",5,22.36,"2"
"FCEA","C",5,20.02,"2"
"FCEA","C",5,0,"2"
"FCEA","C",5,15.08,"2"
"FCEA","C",5,3.38,"2"
"FCEA","C",5,20.02,"2"
"FCEA","C",5,1.2,"3"
"FCEA","C",5,0.159999999999997,"3"
"FCEA","C",5,1.72,"3"
"FCEA","C",5,2.5,"3"
"FCEA","C",5,4.31999999999999,"3"
"FCEA","C",5,15.24,"3"
"FCEA","C",6,0,"1"
"FCEA","C",6,0,"1"
"FCEA","C",6,0,"1"
"FCEA","C",6,0,"1"
"FCEA","C",6,10.14,"2"
"FCEA","C",6,19.24,"2"
"FCEA","C",6,3.12,"2"
"FCEA","C",6,23.66,"2"
"FCEA","C",6,9.1,"2"
"FCEA","C",6,13.52,"2"
"FCEA","C",6,9,"3"
"FCEA","C",6,7.17999999999999,"3"
"FCEA","C",6,19.66,"3"
"FCEA","C",6,23.56,"3"
"FCEA","C",6,4.58,"3"
"FCEA","C",6,24.86,"3"
"GAM","C",1,22,"3"
"GAM","C",1,0,"3"
"GAM","C",1,20,"3"
"GAM","C",1,10,"3"
"GAM","C",1,0,"3"
"GAM","C",2,5,"3"
"GAM","C",2,0,"3"
"GAM","C",2,0,"3"
"GAM","C",2,0,"3"
"GAM","C",2,0,"3"
"GAM","C",3,0,"3"
"GAM","C",3,0,"3"
"GAM","C",3,0,"3"
"GAM","C",3,0,"3"
"GAM","C",3,0,"3"
"GAM","C",4,10,"3"
"GAM","C",4,12,"3"
"GAM","C",4,30,"3"
"GAM","C",4,0,"3"
"GAM","C",4,0,"3"
"GAM","C",5,0,"3"
"GAM","C",5,0,"3"
"GAM","C",5,15,"3"
"GAM","C",5,13,"3"
"GAM","C",5,11,"3"
"GAM","C",6,0,"3"
"GAM","C",6,14,"3"
"GAM","C",6,10,"3"
"GAM","C",6,0,"3"
"GAM","C",6,0,"3"
"LLFS","C",1,3.6,"2"
"LLFS","C",1,0.5,"2"
"LLFS","C",1,5.5,"2"
"LLFS","C",1,12.5,"2"
"LLFS","C",1,18.62,"3"
"LLFS","C",1,6.66,"3"
"LLFS","C",1,7.95999999999999,"3"
"LLFS","C",1,7.17999999999999,"3"
"LLFS","C",1,6.39999999999999,"3"
"LLFS","C",1,8.22,"3"
"LLFS","C",2,0,"2"
"LLFS","C",2,5.7,"2"
"LLFS","C",2,20,"2"
"LLFS","C",2,4.2,"2"
"LLFS","C",2,0.159999999999997,"3"
"LLFS","C",2,5.61999999999999,"3"
"LLFS","C",2,6.66,"3"
"LLFS","C",2,5.61999999999999,"3"
"LLFS","C",2,6.39999999999999,"3"
"LLFS","C",2,3.28,"3"
"LLFS","C",3,0,"2"
"LLFS","C",3,0,"2"
"LLFS","C",3,0,"2"
