AccSpeciesID	AccSpeciesName	ObsNum	ObsGRNum	MeasNum	MeasGRNum	TraitNum
271060	Aa achalensis	5		5		3
200002	Aa argyrolepis	7		9		3
271061	Aa aurantiaca	5		5		3
200003	Aa calceata	7		9		3
271062	Aa colombiana	13		13		3
271063	Aa denticulata	5		5		3
271064	Aa erosa	5		5		3
200004	Aa fiebrigii	7		9		3
271065	Aa hartwegii	7		7		3
271066	Aa hieronymi	5		5		3
271067	Aa leucantha	7		7		3
271068	Aa lorentzii	5		5		3
200005	Aa macra	7		9		3
200006	Aa maderoi	21		23		3
271069	Aa mandonii	5		5		3
271071	Aa matthewsii	18		18		3
271072	Aa microtidis	5		5		3
271073	Aa nervosa	5		5		3
73135	Aa paleacea	17		17		4
271074	Aa riobambae	7		7		3
271075	Aa rosei	5		5		3
271076	Aa schickendanzii	5		5		3
1	Aa sp	8	2	26	16	10
271077	Aa sphaeroglossa	5		5		3
271078	Aa trilobulata	5		5		3
271079	Aa weddelliana	5		5		3
271080	Aaronsohnia factorovskyi	2		2		2
102934	ABACABA PALM	2	2	10	10	5
271081	Abarema abbottii	1		1		1
200010	Abarema acreana	11		13		3
2	Abarema adenophora	60	11	150	77	48
200011	Abarema adenophorum	4	1	8	5	5
402741	Abarema alexandrae	7	1	15	6	8
271082	Abarema alexandri	1		1		1
200012	Abarema alexandri var. troyana	1		1		1
271083	Abarema asplenifolia	1		1		1
200013	Abarema auriculata	8		11		6
3	Abarema barbouriana	48	4	74	18	17
271084	Abarema barnebyana	1		1		1
4	Abarema brachystachya	36	3	75	26	32
200015	Abarema callejasii	6		8		3
73136	Abarema campestris	9		15		4
271085	Abarema centiflora	2		2		2
73137	Abarema cochleata	59	41	107	82	7
72467	Abarema cochliacarpos	1		2		2
200017	Abarema cochliocarpos	28	18	140	108	19
271086	Abarema commutata	1		1		1
5	Abarema curvicarpa	17	1	25	3	10
271087	Abarema ferruginea	1		1		1
200018	Abarema filamentosa	60	50	114	100	5
73138	Abarema floribunda	15	3	23	6	7
271088	Abarema gallorum	3		3		2
200019	Abarema ganymedea	4		6		3
271089	Abarema glauca	2		2		2
200020	Abarema idiopoda	16		18		3
271090	Abarema josephi	2		2		2
6	Abarema jupunba	312	89	577	305	67
200021	Abarema jupunba var. jupunba	24	22	195	191	41
200022	Abarema killipii	16		18		3
7	Abarema laeta	141	4	158	16	34
