"Site","Treatment","Plot_number","Year","Percent_canopy_cover"
"FAB","M1",1,"1",8.6
"FAB","M1",1,"1",9.6
"FAB","M1",1,"1",6.5
"FAB","M1",1,"1",3.9
"FAB","M1",2,"1",0
"FAB","M1",2,"1",0.5
"FAB","M1",2,"1",0
"FAB","M1",2,"1",0
"FAB","M1",3,"1",1.6
"FAB","M1",3,"1",1
"FAB","M1",3,"1",0
"FAB","M1",3,"1",0
"FAB","M1",4,"1",0
"FAB","M1",4,"1",0
"FAB","M1",4,"1",0
"FAB","M1",4,"1",0
"FAB","M1",5,"1",0
"FAB","M1",5,"1",0
"FAB","M1",5,"1",0
"FAB","M1",5,"1",0
"FAB","M1",6,"1",0.5
"FAB","M1",6,"1",0
"FAB","M1",6,"1",0.5
"FAB","M1",6,"1",0
"FAB","M2",1,"1",10.4
"FAB","M2",1,"1",12.5
"FAB","M2",1,"1",7.3
"FAB","M2",1,"1",5.7
"FAB","M2",2,"1",10.4
"FAB","M2",2,"1",12.5
"FAB","M2",2,"1",7.3
"FAB","M2",2,"1",5.7
"FAB","M2",3,"1",0
"FAB","M2",3,"1",0
"FAB","M2",3,"1",0
"FAB","M2",3,"1",0
"FAB","M2",4,"1",0
"FAB","M2",4,"1",0
"FAB","M2",4,"1",0
"FAB","M2",4,"1",0
"FAB","M2",5,"1",0
"FAB","M2",5,"1",0.8
"FAB","M2",5,"1",0
"FAB","M2",5,"1",0
"FAB","M2",6,"1",0
"FAB","M2",6,"1",0
"FAB","M2",6,"1",0
"FAB","M2",6,"1",0
"FAB","2SP",1,"1",10.1
"FAB","2SP",1,"1",4.2
"FAB","2SP",1,"1",4.9
"FAB","2SP",1,"1",6.2
"FAB","2SP",2,"1",1.3
"FAB","2SP",2,"1",2.9
"FAB","2SP",2,"1",1.8
"FAB","2SP",2,"1",1.6
"FAB","2SP",3,"1",0
"FAB","2SP",3,"1",0
"FAB","2SP",3,"1",0
"FAB","2SP",3,"1",0
"FAB","2SP",4,"1",0
"FAB","2SP",4,"1",0
"FAB","2SP",4,"1",0
"FAB","2SP",4,"1",0
"FAB","2SP",5,"1",0
"FAB","2SP",5,"1",0
"FAB","2SP",5,"1",0
"FAB","2SP",5,"1",0
"FAB","2SP",6,"1",0
"FAB","2SP",6,"1",0
"FAB","2SP",6,"1",0
"FAB","2SP",6,"1",0
"FAB","6SP",1,"1",1
"FAB","6SP",1,"1",0.3
"FAB","6SP",1,"1",0.3
"FAB","6SP",1,"1",0.5
"FAB","6SP",2,"1",0
"FAB","6SP",2,"1",0
"FAB","6SP",2,"1",0.3
"FAB","6SP",2,"1",0.3
"FAB","6SP",3,"1",0.3
"FAB","6SP",3,"1",0.3
"FAB","6SP",3,"1",0
"FAB","6SP",3,"1",0.3
"FAB","6SP",4,"1",4.4
"FAB","6SP",4,"1",12
"FAB","6SP",4,"1",1.6
"FAB","6SP",4,"1",0.3
"FAB","6SP",5,"1",0
"FAB","6SP",5,"1",0
"FAB","6SP",5,"1",0
"FAB","6SP",5,"1",0
"FAB","6SP",6,"1",0
"FAB","6SP",6,"1",0
"FAB","6SP",6,"1",0
"FAB","6SP",6,"1",0
"FAB","12SP",1,"1",1.8
"FAB","12SP",1,"1",2.6
"FAB","12SP",1,"1",0.3
"FAB","12SP",1,"1",1.3
"FAB","12SP",2,"1",0
"FAB","12SP",2,"1",0
"FAB","12SP",2,"1",0
"FAB","12SP",2,"1",0
"FAB","12SP",3,"1",0
"FAB","12SP",3,"1",2.9
"FAB","12SP",3,"1",0
"FAB","12SP",3,"1",0
"FAB","12SP",4,"1",0
"FAB","12SP",4,"1",0
"FAB","12SP",4,"1",0
"FAB","12SP",4,"1",0
"FAB","12SP",5,"1",0
"FAB","12SP",5,"1",0
"FAB","12SP",5,"1",0
"FAB","12SP",5,"1",0
"FAB","12SP",6,"1",0
"FAB","12SP",6,"1",0
"FAB","12SP",6,"1",0
"FAB","12SP",6,"1",0
"FAB","M1",1,"2",6.76
"FAB","M1",1,"2",2.86
"FAB","M1",1,"2",11.7
"FAB","M1",1,"2",5.72
"FAB","M1",1,"2",6.24
"FAB","M1",1,"2",7.8
"FAB","M1",2,"2",26.78
"FAB","M1",2,"2",68.38
"FAB","M1",2,"2",61.1
"FAB","M1",2,"2",24.44
"FAB","M1",2,"2",81.64
"FAB","M1",2,"2",51.74
"FAB","M1",3,"2",58.66
"FAB","M1",3,"2",61
"FAB","M1",3,"2",64.64
"FAB","M1",3,"2",81.28
"FAB","M1",3,"2",60.48
"FAB","M1",3,"2",47.48
"FAB","M1",4,"2",9.88
"FAB","M1",4,"2",13.78
"FAB","M1",4,"2",7.54
"FAB","M1",4,"2",3.38
"FAB","M1",4,"2",4.42
"FAB","M1",4,"2",11.44
"FAB","M1",5,"2",14.82
"FAB","M1",5,"2",46.54
"FAB","M1",5,"2",18.46
"FAB","M1",5,"2",35.1
"FAB","M1",5,"2",22.1
"FAB","M1",5,"2",20.54
"FAB","M1",6,"2",16.64
"FAB","M1",6,"2",29.38
"FAB","M1",6,"2",0.78
"FAB","M1",6,"2",7.28
"FAB","M1",6,"2",16.9
"FAB","M1",6,"2",10.92
"FAB","M2",1,"2",12.22
"FAB","M2",1,"2",8.84
"FAB","M2",1,"2",4.42
"FAB","M2",1,"2",4.94
"FAB","M2",1,"2",8.58
"FAB","M2",1,"2",8.32
"FAB","M2",2,"2",0
"FAB","M2",2,"2",1.04
"FAB","M2",2,"2",3.38
"FAB","M2",2,"2",0
"FAB","M2",2,"2",0
"FAB","M2",2,"2",0.52
"FAB","M2",3,"2",0
"FAB","M2",3,"2",0
"FAB","M2",3,"2",0
"FAB","M2",3,"2",0
"FAB","M2",3,"2",0
"FAB","M2",3,"2",0
"FAB","M2",4,"2",0
"FAB","M2",4,"2",0
"FAB","M2",4,"2",0
"FAB","M2",4,"2",0
"FAB","M2",4,"2",0
"FAB","M2",4,"2",0
"FAB","M2",5,"2",11.18
"FAB","M2",5,"2",9.36
"FAB","M2",5,"2",0
"FAB","M2",5,"2",9.36
"FAB","M2",5,"2",3.38
"FAB","M2",5,"2",18.2
"FAB","M2",6,"2",0
"FAB","M2",6,"2",0
"FAB","M2",6,"2",0
"FAB","M2",6,"2",0
"FAB","M2",6,"2",0
"FAB","M2",6,"2",0
"FAB","2SP",1,"2",15.86
"FAB","2SP",1,"2",17.94
"FAB","2SP",1,"2",13
"FAB","2SP",1,"2",21.84
"FAB","2SP",1,"2",19.5
"FAB","2SP",1,"2",18.2
"FAB","2SP",2,"2",3.64
"FAB","2SP",2,"2",0
"FAB","2SP",2,"2",0.52
"FAB","2SP",2,"2",0.52
"FAB","2SP",2,"2",2.34
"FAB","2SP",2,"2",4.16
"FAB","2SP",3,"2",1.04
