"Site","Plot_number","Treatment","Tree_number","Species","Height_year_1","Height_year_2","Height_year_3","BA_year_3","DBH_year_3","Mortality_year_1","Mortality_year_2","WD","WD_source"
"LLFS",1,"M1",2,"Inga edulis",NA,54,230,3.14159,1.99999915533596,1,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",3,"Inga edulis",NA,52,190,3.306523475,2.05182758631546,1,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",4,"Inga edulis",NA,57,240,9.071341125,3.39852765828562,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",5,"Inga edulis",NA,16,390,39.152065375,7.06045026138605,1,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",6,"Inga edulis",NA,43,150,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",7,"Inga edulis",NA,62,315,15.291689325,4.41248043104947,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",8,"Inga edulis",NA,68,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",9,"Inga edulis",NA,79,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",10,"Inga edulis",NA,170,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",11,"Inga edulis",NA,161,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",12,"Inga edulis",NA,88,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",13,"Inga edulis",NA,162,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",14,"Inga edulis",NA,154,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",15,"Inga edulis",NA,104,280,12.07941355,3.92173265395154,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",16,"Inga edulis",NA,132,488,52.299619525,8.16026615704618,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",17,"Inga edulis",NA,19,180,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",18,"Inga edulis",NA,108,410,31.015347275,6.2841042833664,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",19,"Inga edulis",NA,109,450,43.691662925,7.45854898833206,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",20,"Inga edulis",NA,62,295,10.265145325,3.6152439696711,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",21,"Inga edulis",NA,155,540,113.8826375,12.0415894932413,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",22,"Inga edulis",NA,134,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",23,"Inga edulis",NA,250,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",24,"Inga edulis",NA,180,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",25,"Inga edulis",NA,184,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",26,"Inga edulis",NA,168,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",27,"Inga edulis",NA,133,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",28,"Inga edulis",NA,202,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",29,"Inga edulis",NA,143,310,11.883064175,3.88972842499778,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",30,"Inga edulis",NA,190,460,57.7424242,8.57437682285498,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",31,"Inga edulis",NA,243,520,85.40412415,10.4278429289691,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",32,"Inga edulis",NA,260,565,99.13287245,11.2347627205263,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",33,"Inga edulis",NA,264,560,86.3623091,10.4861769544845,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",34,"Inga edulis",NA,210,570,71.39263275,9.53414512266594,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",35,"Inga edulis",NA,208,520,97.1379628,11.1211463227481,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",36,"Inga edulis",NA,34,180,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",37,"Inga edulis",NA,270,565,42.921973375,7.39256070919406,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",38,"Inga edulis",NA,210,570,78.7596613,10.0139859844673,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",39,"Inga edulis",NA,193,500,36.01832935,6.77199832130186,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",40,"Inga edulis",NA,184,535,23.9074999,5.51724335954396,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",41,"Inga edulis",NA,147,420,49.15017555,7.91074883566248,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",42,"Inga edulis",NA,132,500,51.4278283,8.09196791215895,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",43,"Inga edulis",NA,77,NA,NA,NA,1,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",44,"Inga edulis",NA,144,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",45,"Inga edulis",NA,285,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",46,"Inga edulis",NA,229,NA,NA,NA,0,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",47,"Inga edulis",NA,91,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",48,"Inga edulis",NA,77,NA,NA,NA,1,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",1,"M1",49,"Inga edulis",NA,100,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",2,"M1",2,"Inga edulis",NA,162,346,50.34397975,8.00624417920452,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",2,"M1",3,"Inga edulis",NA,72,308,30.544108775,6.23618209732704,0,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",2,"M1",4,"Inga edulis",NA,164,520,133.53328295,13.0391662459779,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",2,"M1",5,"Inga edulis",NA,192,545,105.753773375,11.6038737612062,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",2,"M1",6,"Inga edulis",NA,79,420,24.3787384,5.5713529579119,1,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",2,"M1",7,"Inga edulis",NA,122,500,74.31431145,9.72727711530339,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
