"Response","Predictor","Estimate","Std.Error","DF","Crit.Value","P.Value","Std.Estimate","...9","Model"
"height_gini","log_richness",0.8286,0.0547,91,15.1555,0,0.8286,"***","Main (log richness, no M2)"
"C_Mg_ha","log_richness",-0.349,0.0824,91,-4.2361,1e-04,-0.349,"***","Main (log richness, no M2)"
"canopy_cover","log_richness",-0.2932,0.1054,90.4827,-2.7828,0.0066,-0.2932,"**","Main (log richness, no M2)"
"canopy_cover","height_gini",0.0286,0.1103,90.8874,0.2591,0.7962,0.0286,"","Main (log richness, no M2)"
"canopy_cover","C_Mg_ha",0.6813,0.0689,58.2942,9.8951,0,0.6813,"***","Main (log richness, no M2)"
"canopy_gini","log_richness",0.0766,0.0583,92.5401,1.3125,0.1926,0.0766,"","Main (log richness, no M2)"
"canopy_gini","canopy_cover",-0.8144,0.0614,60.4956,-13.2722,0,-0.8144,"***","Main (log richness, no M2)"
"height_gini","inga_prop",-0.573,0.0757,108.2237,-7.5707,0,-0.573,"***","Supplement (Inga proportion, all treatments)"
"C_Mg_ha","inga_prop",0.4832,0.0746,108.0773,6.4776,0,0.4832,"***","Supplement (Inga proportion, all treatments)"
"canopy_cover","inga_prop",0.3075,0.0714,104.5967,4.3097,0,0.3075,"***","Supplement (Inga proportion, all treatments)"
"canopy_cover","height_gini",0.0427,0.0644,108.3779,0.6634,0.5085,0.0427,"","Supplement (Inga proportion, all treatments)"
"canopy_cover","C_Mg_ha",0.6494,0.0634,91.6028,10.2416,0,0.6494,"***","Supplement (Inga proportion, all treatments)"
"canopy_gini","inga_prop",-0.0653,0.0588,103.078,-1.1096,0.2698,-0.0653,"","Supplement (Inga proportion, all treatments)"
"canopy_gini","canopy_cover",-0.8196,0.0601,66.9236,-13.643,0,-0.8196,"***","Supplement (Inga proportion, all treatments)"
