"Metric","Site","Treatment","Mean","SD","n","Mean_SD"
"Canopy Gini","FAB","M1",0.212,0.151,6,"0.212 ± 0.151"
"Canopy Gini","FAB","M2",0.601,0.155,5,"0.601 ± 0.155"
"Canopy Gini","FAB","2SP",0.317,0.163,6,"0.317 ± 0.163"
"Canopy Gini","FAB","6SP",0.399,0.049,6,"0.399 ± 0.049"
"Canopy Gini","FAB","12SP",0.494,0.207,6,"0.494 ± 0.207"
"Canopy Gini","FCEA","M1",0.081,0.096,6,"0.081 ± 0.096"
"Canopy Gini","FCEA","M2",0.296,0.164,6,"0.296 ± 0.164"
"Canopy Gini","FCEA","2SP",0.226,0.065,6,"0.226 ± 0.065"
"Canopy Gini","FCEA","6SP",0.343,0.239,6,"0.343 ± 0.239"
"Canopy Gini","FCEA","12SP",0.345,0.123,6,"0.345 ± 0.123"
"Canopy Gini","GAM","M1",0.201,0.181,6,"0.201 ± 0.181"
"Canopy Gini","GAM","M2",0.614,0.107,5,"0.614 ± 0.107"
"Canopy Gini","GAM","2SP",0.292,0.086,6,"0.292 ± 0.086"
"Canopy Gini","GAM","6SP",0.401,0.096,6,"0.401 ± 0.096"
"Canopy Gini","GAM","12SP",0.344,0.111,6,"0.344 ± 0.111"
"Canopy Gini","LLFS","M1",0.036,0.063,6,"0.036 ± 0.063"
"Canopy Gini","LLFS","M2",0.466,0.144,6,"0.466 ± 0.144"
"Canopy Gini","LLFS","2SP",0.151,0.166,6,"0.151 ± 0.166"
"Canopy Gini","LLFS","6SP",0.092,0.071,6,"0.092 ± 0.071"
"Canopy Gini","LLFS","12SP",0.292,0.067,6,"0.292 ± 0.067"
"Canopy cover (%)","FAB","M1",55.279,28.991,6,"55.279 ± 28.991"
"Canopy cover (%)","FAB","M2",3.604,4.035,6,"3.604 ± 4.035"
"Canopy cover (%)","FAB","2SP",34.746,35.059,6,"34.746 ± 35.059"
"Canopy cover (%)","FAB","6SP",26.347,8.908,6,"26.347 ± 8.908"
"Canopy cover (%)","FAB","12SP",8.501,6.29,6,"8.501 ± 6.29"
"Canopy cover (%)","FCEA","M1",75.327,21.155,6,"75.327 ± 21.155"
"Canopy cover (%)","FCEA","M2",22.91,20.707,6,"22.91 ± 20.707"
"Canopy cover (%)","FCEA","2SP",38.392,20.299,6,"38.392 ± 20.299"
"Canopy cover (%)","FCEA","6SP",38.391,33.644,6,"38.391 ± 33.644"
"Canopy cover (%)","FCEA","12SP",27.063,22.671,6,"27.063 ± 22.671"
"Canopy cover (%)","GAM","M1",61.415,26.784,6,"61.415 ± 26.784"
"Canopy cover (%)","GAM","M2",7.5,7.114,5,"7.5 ± 7.114"
"Canopy cover (%)","GAM","2SP",27.274,22.004,6,"27.274 ± 22.004"
"Canopy cover (%)","GAM","6SP",20.852,12.136,6,"20.852 ± 12.136"
"Canopy cover (%)","GAM","12SP",26.267,20.545,6,"26.267 ± 20.545"
"Canopy cover (%)","LLFS","M1",90.705,11.15,6,"90.705 ± 11.15"
"Canopy cover (%)","LLFS","M2",10.177,8.353,6,"10.177 ± 8.353"
"Canopy cover (%)","LLFS","2SP",68.071,34.331,6,"68.071 ± 34.331"
"Canopy cover (%)","LLFS","6SP",71.581,21.514,6,"71.581 ± 21.514"
"Canopy cover (%)","LLFS","12SP",31.96,15.767,6,"31.96 ± 15.767"
"Carbon (Mg C/ha)","FAB","M1",3.066,2.422,6,"3.066 ± 2.422"
"Carbon (Mg C/ha)","FAB","M2",0.194,0.146,3,"0.194 ± 0.146"
"Carbon (Mg C/ha)","FAB","2SP",2.259,3.482,6,"2.259 ± 3.482"
"Carbon (Mg C/ha)","FAB","6SP",0.855,0.424,6,"0.855 ± 0.424"
"Carbon (Mg C/ha)","FAB","12SP",0.489,0.463,6,"0.489 ± 0.463"
"Carbon (Mg C/ha)","FCEA","M1",4.738,5.349,6,"4.738 ± 5.349"
"Carbon (Mg C/ha)","FCEA","M2",0.012,0.016,4,"0.012 ± 0.016"
"Carbon (Mg C/ha)","FCEA","2SP",1.687,1.084,6,"1.687 ± 1.084"
"Carbon (Mg C/ha)","FCEA","6SP",2.11,1.866,6,"2.11 ± 1.866"
"Carbon (Mg C/ha)","FCEA","12SP",1.19,1.024,6,"1.19 ± 1.024"
"Carbon (Mg C/ha)","GAM","M1",5.656,3.873,6,"5.656 ± 3.873"
"Carbon (Mg C/ha)","GAM","M2",0.081,0.049,5,"0.081 ± 0.049"
"Carbon (Mg C/ha)","GAM","2SP",1.081,0.729,6,"1.081 ± 0.729"
"Carbon (Mg C/ha)","GAM","6SP",0.826,0.466,6,"0.826 ± 0.466"
"Carbon (Mg C/ha)","GAM","12SP",0.997,0.533,6,"0.997 ± 0.533"
"Carbon (Mg C/ha)","LLFS","M1",8.28,4.601,6,"8.28 ± 4.601"
"Carbon (Mg C/ha)","LLFS","M2",0.06,0.035,6,"0.06 ± 0.035"
"Carbon (Mg C/ha)","LLFS","2SP",5.384,2.901,6,"5.384 ± 2.901"
"Carbon (Mg C/ha)","LLFS","6SP",6.281,4.117,6,"6.281 ± 4.117"
"Carbon (Mg C/ha)","LLFS","12SP",4.377,2.902,6,"4.377 ± 2.902"
"Carbon Gini","FAB","M1",0.445,0.044,6,"0.445 ± 0.044"
"Carbon Gini","FAB","M2",0.371,0.331,3,"0.371 ± 0.331"
"Carbon Gini","FAB","2SP",0.482,0.086,6,"0.482 ± 0.086"
"Carbon Gini","FAB","6SP",0.613,0.057,6,"0.613 ± 0.057"
"Carbon Gini","FAB","12SP",0.578,0.133,6,"0.578 ± 0.133"
"Carbon Gini","FCEA","M1",0.444,0.082,6,"0.444 ± 0.082"
"Carbon Gini","FCEA","M2",0.15,0.119,4,"0.15 ± 0.119"
"Carbon Gini","FCEA","2SP",0.516,0.077,6,"0.516 ± 0.077"
"Carbon Gini","FCEA","6SP",0.6,0.045,6,"0.6 ± 0.045"
"Carbon Gini","FCEA","12SP",0.55,0.188,6,"0.55 ± 0.188"
"Carbon Gini","GAM","M1",0.455,0.082,6,"0.455 ± 0.082"
"Carbon Gini","GAM","M2",0.326,0.107,5,"0.326 ± 0.107"
"Carbon Gini","GAM","2SP",0.565,0.093,6,"0.565 ± 0.093"
"Carbon Gini","GAM","6SP",0.611,0.073,6,"0.611 ± 0.073"
"Carbon Gini","GAM","12SP",0.656,0.15,6,"0.656 ± 0.15"
"Carbon Gini","LLFS","M1",0.379,0.054,6,"0.379 ± 0.054"
"Carbon Gini","LLFS","M2",0.278,0.091,6,"0.278 ± 0.091"
"Carbon Gini","LLFS","2SP",0.497,0.086,6,"0.497 ± 0.086"
"Carbon Gini","LLFS","6SP",0.635,0.033,6,"0.635 ± 0.033"
"Carbon Gini","LLFS","12SP",0.688,0.06,6,"0.688 ± 0.06"
"Height Gini","FAB","M1",0.146,0.033,6,"0.146 ± 0.033"
"Height Gini","FAB","M2",0.24,0.057,6,"0.24 ± 0.057"
"Height Gini","FAB","2SP",0.327,0.031,6,"0.327 ± 0.031"
"Height Gini","FAB","6SP",0.337,0.048,6,"0.337 ± 0.048"
"Height Gini","FAB","12SP",0.361,0.049,6,"0.361 ± 0.049"
"Height Gini","FCEA","M1",0.201,0.074,6,"0.201 ± 0.074"
"Height Gini","FCEA","M2",0.276,0.069,6,"0.276 ± 0.069"
"Height Gini","FCEA","2SP",0.328,0.022,6,"0.328 ± 0.022"
"Height Gini","FCEA","6SP",0.38,0.06,6,"0.38 ± 0.06"
"Height Gini","FCEA","12SP",0.413,0.039,6,"0.413 ± 0.039"
"Height Gini","GAM","M1",0.177,0.045,6,"0.177 ± 0.045"
"Height Gini","GAM","M2",0.174,0.025,5,"0.174 ± 0.025"
"Height Gini","GAM","2SP",0.223,0.024,6,"0.223 ± 0.024"
"Height Gini","GAM","6SP",0.442,0.02,6,"0.442 ± 0.02"
"Height Gini","GAM","12SP",0.396,0.041,6,"0.396 ± 0.041"
"Height Gini","LLFS","M1",0.122,0.041,6,"0.122 ± 0.041"
"Height Gini","LLFS","M2",0.164,0.056,6,"0.164 ± 0.056"
"Height Gini","LLFS","2SP",0.242,0.048,6,"0.242 ± 0.048"
"Height Gini","LLFS","6SP",0.34,0.022,6,"0.34 ± 0.022"
