"Species","WD","WD_source"
"Aspidosperma myristicifolium",0.75,"BIOMASS (genus)"
"Astronium graveolens",0.861,"BIOMASS+BIEN+Zanne"
"Calophyllum brasiliense",0.571,"BIOMASS+BIEN+Zanne+TWDD+CIRAD"
"Cedrela tonduzii",0.36,"BIOMASS+BIEN+Zanne"
"Chrysophyllum cainito",0.661,"BIOMASS+BIEN+Zanne"
"Citharexylum cooperi",0.667,"BIOMASS (genus)"
"Cojoba arborea",0.683,"BIEN (species)"
"Cordia alliodora",0.469,"BIOMASS+BIEN+Zanne+TWDD+CIRAD"
"Croton draco",0.51,"BIOMASS (genus)"
"Croton schiedeanus",0.51,"BIOMASS (genus)"
"Cupania rufescens",0.608,"BIOMASS (genus)"
"Dendropanax ravenii",0.537,"BIEN (species)"
"Erythrina poeppigiana",0.302,"BIOMASS+BIEN+Zanne"
"Ficus insipida",0.37,"BIOMASS+BIEN+Zanne+CIRAD"
"Ficus maxima",0.36,"BIOMASS+BIEN+Zanne"
"Garcinia madruno",0.735,"BIOMASS+BIEN+Zanne"
"Handroanthus impetiginosus",0.831,"BIEN+TWDD"
"Handroanthus ochraceus",0.507,"TWDD (species)"
"Heliocarpus appendiculatus",0.185,"BIOMASS+BIEN+Zanne"
"Inga edulis",0.58,"BIOMASS+BIEN+Zanne"
"Lacistema aggregatum",0.508,"BIOMASS+BIEN+Zanne"
"Moquilea platypus",0.621,"BIOMASS+BIEN+Zanne"
"Ocotea puberula",0.433,"BIOMASS+BIEN+Zanne"
"Persea caerulea",0.425,"BIOMASS+BIEN+Zanne"
"Platymiscium curuense",0.63,"Roque et al. 2026 (CR plantations)"
"Quercus insignis",0.701,"BIOMASS (genus)"
"Saurauia montana",0.411,"BIOMASS (genus)"
"Simarouba amara",0.374,"BIOMASS+BIEN+Zanne+TWDD+CIRAD"
"Spondias mombin",0.386,"BIOMASS+BIEN+Zanne+TWDD+CIRAD"
"Sterculia recordiana",0.49,"BIOMASS+BIEN+Zanne"
"Terminalia amazonia",0.688,"BIOMASS+BIEN+Zanne+TWDD+CIRAD"
"Theobroma simiarum",0.532,"BIOMASS (genus)"
"Viburnum costaricanum",0.631,"BIOMASS (genus)"
"Vitex cooperi",0.565,"BIOMASS (genus)"
"Zygia longifolia",0.71,"BIOMASS+BIEN+Zanne"
