"Metric","Term","F_value","NumDF","DenDF","p_value","eta2p","p_formatted","Significance"
"Mean height (m)","Treatment",46.34,4,79,5.44530800114694e-20,0.701,"< 0.001","***"
"","Site",12.28,3,19.7,9.45010500546267e-05,0.652,"< 0.001","***"
"","Treatment × Site",1.13,12,79,0.346275823778083,0.147,"0.346",""
"Canopy cover (%)","Treatment",29.35,4,79,5.8482762380514e-15,0.598,"< 0.001","***"
"","Site",7.62,3,19.8,0.00140229338919736,0.536,"0.001","**"
"","Treatment × Site",1.51,12,79,0.13923804212995,0.186,"0.139",""
"Carbon (Mg C/ha)","Treatment",44.84,4,75.5,3.16012973018429e-19,0.704,"< 0.001","***"
"","Site",5.55,3,20.4,0.00598352292052489,0.45,"0.006","**"
"","Treatment × Site",1.92,12,75.3,0.0445457288717244,0.235,"0.045","*"
"Height Gini","Treatment",135.82,4,79.2,1.25758527245969e-34,0.873,"< 0.001","***"
"","Site",8.03,3,19.9,0.00105452082400828,0.547,"0.001","**"
"","Treatment × Site",5.23,12,79.2,2.15572072973715e-06,0.442,"< 0.001","***"
"Canopy Gini","Treatment",24.57,4,77.9,3.55906740405086e-13,0.558,"< 0.001","***"
"","Site",10.23,3,19.3,0.000300043305975604,0.613,"< 0.001","***"
"","Treatment × Site",1.86,12,77.8,0.0521799030359833,0.223,"0.052",""
"Carbon Gini","Treatment",37.73,4,76.1,2.29499784498646e-17,0.665,"< 0.001","***"
"","Site",1.81,3,20.7,0.17602222545565,0.208,"0.176",""
"","Treatment × Site",1.35,12,75.9,0.209220754664765,0.176,"0.209",""
"Survival (%)","Treatment",18.08,4,NA,7.29811538345133e-15,NA,"< 0.001","***"
"","Site",15.27,3,NA,6.18460430863054e-10,NA,"< 0.001","***"
"","Treatment × Site",13.82,12,NA,3.33317180397154e-29,NA,"< 0.001","***"
